time,populationID,neuronID,valueType,value
0.204,999,0,3,0.556103
0.204,94651192721968,0,3,0.0299405
0.204,94651192725616,0,3,0.305753
0.205,999,0,3,0.569818
0.205,94651192721968,0,3,0.0305658
0.205,94651192725616,0,3,0.321599
0.206,999,0,3,0.583326
0.206,94651192721968,0,3,0.0321488
0.206,94651192725616,0,3,0.32238
0.207,999,0,3,0.596588
0.207,94651192721968,0,3,0.0322268
0.207,94651192725616,0,3,0.331121
0.208,999,0,3,0.609567
0.208,94651192721968,0,3,0.0331
0.208,94651192725616,0,3,0.346967
0.209,999,0,3,0.622223
0.209,94651192721968,0,3,0.0346828
0.209,94651192725616,0,3,0.355465
0.21,999,0,3,0.63452
0.21,94651192721968,0,3,0.0355316
0.21,94651192725616,0,3,0.373944
0.211,999,0,3,0.646424
0.211,94651192721968,0,3,0.037377
0.211,94651192725616,0,3,0.377494
0.212,999,0,3,0.657901
0.212,94651192721968,0,3,0.0377315
0.212,94651192725616,0,3,0.396829
0.213,999,0,3,0.668917
0.213,94651192721968,0,3,0.0396621
0.213,94651192725616,0,3,0.409195
0.214,999,0,3,0.679444
0.214,94651192721968,0,3,0.0408967
0.214,94651192725616,0,3,0.421342
0.215,999,0,3,0.689451
0.215,94651192721968,0,3,0.0421093
0.215,94651192725616,0,3,0.43208
0.216,999,0,3,0.698912
0.216,94651192721968,0,3,0.0431811
0.216,94651192725616,0,3,0.450559
0.217,999,0,3,0.707802
0.217,94651192721968,0,3,0.0450255
0.217,94651192725616,0,3,0.462069
0.218,999,0,3,0.716098
0.218,94651192721968,0,3,0.0461741
0.218,94651192725616,0,3,0.473444
0.219,999,0,3,0.723779
0.219,94651192721968,0,3,0.0473091
0.219,94651192725616,0,3,0.49153
0.22,999,0,3,0.730826
0.22,94651192721968,0,3,0.0491135
0.22,94651192725616,0,3,0.503896
0.221,999,0,3,0.737224
0.221,94651192721968,0,3,0.050347
0.221,94651192725616,0,3,0.517292
0.222,999,0,3,0.742957
0.222,94651192721968,0,3,0.0516831
0.222,94651192725616,0,3,0.530406
0.223,999,0,3,0.748014
0.223,94651192721968,0,3,0.0529909
0.223,94651192725616,0,3,0.552154
0.224,999,0,3,0.752386
0.224,94651192721968,0,3,0.0551594
0.224,94651192725616,0,3,0.565268
0.225,999,0,3,0.756066
0.225,94651192721968,0,3,0.0564667
0.225,94651192725616,0,3,0.578664
0.226,999,0,3,0.759049
0.226,94651192721968,0,3,0.0578019
0.226,94651192725616,0,3,0.59103
0.227,999,0,3,0.761334
0.227,94651192721968,0,3,0.0590343
0.227,94651192725616,0,3,0.601156
0.228,999,0,3,0.76292
0.228,94651192721968,0,3,0.0600433
0.228,94651192725616,0,3,0.61825
0.229,999,0,3,0.763811
0.229,94651192721968,0,3,0.0617464
0.229,94651192725616,0,3,0.6255
0.23,999,0,3,0.764011
0.23,94651192721968,0,3,0.0624685
0.23,94651192725616,0,3,0.640354
0.231,999,0,3,0.763529
0.231,94651192721968,0,3,0.063948
0.231,94651192725616,0,3,0.648459
0.232,999,0,3,0.762373
0.232,94651192721968,0,3,0.0647552
0.232,94651192725616,0,3,0.659221
0.233,999,0,3,0.760557
0.233,94651192721968,0,3,0.0658268
0.233,94651192725616,0,3,0.671587
0.234,999,0,3,0.758095
0.234,94651192721968,0,3,0.0670579
0.234,94651192725616,0,3,0.684346
0.235,999,0,3,0.755004
0.235,94651192721968,0,3,0.068328
0.235,94651192725616,0,3,0.69625
0.236,999,0,3,0.751301
0.236,94651192721968,0,3,0.0695127
0.236,94651192725616,0,3,0.714093
0.237,999,0,3,0.747008
0.237,94651192721968,0,3,0.0712881
0.237,94651192725616,0,3,0.723227
0.238,999,0,3,0.742149
0.238,94651192721968,0,3,0.0721969
0.238,94651192725616,0,3,0.73296
0.239,999,0,3,0.736746
0.239,94651192721968,0,3,0.073165
0.239,94651192725616,0,3,0.742337
0.24,999,0,3,0.730826
0.24,94651192721968,0,3,0.0740977
0.24,94651192725616,0,3,0.748202
0.241,999,0,3,0.724418
0.241,94651192721968,0,3,0.0746809
0.241,94651192725616,0,3,0.76018
0.242,999,0,3,0.717551
0.242,94651192721968,0,3,0.0758719
0.242,94651192725616,0,3,0.756238
0.243,999,0,3,0.710254
0.243,94651192721968,0,3,0.07548
0.243,94651192725616,0,3,0.767823
0.244,999,0,3,0.702562
0.244,94651192721968,0,3,0.0766317
0.244,94651192725616,0,3,0.770699
0.245,999,0,3,0.694506
0.245,94651192721968,0,3,0.0769177
0.245,94651192725616,0,3,0.764586
0.246,999,0,3,0.686121
0.246,94651192721968,0,3,0.0763099
0.246,94651192725616,0,3,0.773182
0.247,999,0,3,0.677441
0.247,94651192721968,0,3,0.0771645
0.247,94651192725616,0,3,0.772546
0.248,999,0,3,0.668504
0.248,94651192721968,0,3,0.0771013
0.248,94651192725616,0,3,0.780899
0.249,999,0,3,0.659345
0.249,94651192721968,0,3,0.0779316
0.249,94651192725616,0,3,0.776564
0.25,999,0,3,0.65
0.25,94651192721968,0,3,0.0775007
0.25,94651192725616,0,3,0.780825
0.251,999,0,3,0.640507
0.251,94651192721968,0,3,0.0779242
0.251,94651192725616,0,3,0.783065
0.252,999,0,3,0.630904
0.252,94651192721968,0,3,0.0781468
0.252,94651192725616,0,3,0.775105
0.253,999,0,3,0.621227
0.253,94651192721968,0,3,0.0773556
0.253,94651192725616,0,3,0.780825
0.254,999,0,3,0.611514
0.254,94651192721968,0,3,0.0779242
0.254,94651192725616,0,3,0.776564
0.255,999,0,3,0.601801
0.255,94651192721968,0,3,0.0775007
0.255,94651192725616,0,3,0.772939
0.256,999,0,3,0.592124
0.256,94651192721968,0,3,0.0771404
0.256,94651192725616,0,3,0.770306
0.257,999,0,3,0.582521
0.257,94651192721968,0,3,0.0768786
0.257,94651192725616,0,3,0.766681
0.258,999,0,3,0.573024
0.258,94651192721968,0,3,0.0765182
0.258,94651192725616,0,3,0.75446
0.259,999,0,3,0.56367
0.259,94651192721968,0,3,0.0753032
0.259,94651192725616,0,3,0.75794
0.26,999,0,3,0.554491
0.26,94651192721968,0,3,0.0756492
0.26,94651192725616,0,3,0.753679
